【  卫视频道  】,#genre#
广东卫视,http://14.155.183.33:8888/hls/25/index.m3u8
广东卫视,http://171.104.193.220:8181/tsfile/live/0125_1.m3u8
广东卫视,http://112.46.85.60:8002/hls/36/index.m3u8
广东卫视,http://113.110.72.127:8090/hls/152/index.m3u8
广东卫视,http://113.111.17.115:8888/udp/239.77.0.166:5146
广东卫视,http://171.104.193.221:8181/tsfile/live/0125_2.m3u8
广东卫视,http://223.240.51.168:4022/rtp/238.1.78.161:7160
广东卫视,http://113.65.7.195:8888/udp/239.77.0.166:5146
广东卫视,http://14.115.91.236:6868/udp/239.77.0.166:5146
广东卫视,http://60.223.72.235:8001/rtp/226.0.2.146:9080
广东卫视K1,http://222.218.159.142:8181/tsfile/live/faacts/1106_1.m3u8
广东大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8
广西卫视,http://110.72.72.102:808/hls/9/index.m3u8
广西卫视,http://113.64.145.131:8081/hls/60/index.m3u8
